"Book","Chapter","Verse"
"Gen","6","6"
"Gen","6","7"
"Exo","13","17"
"Exo","32","12"
"Exo","32","14"
"Num","23","19"
"Deu","32","36"
"Jdg","2","18"
"Jdg","21","6"
"Jdg","21","15"
"1Sa","15","11"
"1Sa","15","29"
"1Sa","15","35"
"2Sa","24","16"
"1Ki","8","47"
"1Ch","21","15"
"Job","42","6"
"Psa","90","13"
"Psa","106","45"
"Psa","110","4"
"Psa","135","14"
"Jer","4","28"
"Jer","8","6"
"Jer","15","6"
"Jer","18","8"
"Jer","18","10"
"Jer","20","16"
"Jer","26","3"
"Jer","26","13"
"Jer","26","19"
"Jer","31","19"
"Jer","42","10"
"Eze","14","6"
"Eze","18","30"
"Eze","24","14"
"Hos","11","8"
"Hos","13","14"
"Joe","2","13"
"Joe","2","14"
"Amo","7","3"
"Amo","7","6"
"Jon","3","9"
"Jon","3","10"
"Jon","4","2"
"Zec","8","14"
"Mat","3","2"
"Mat","3","8"
"Mat","3","11"
"Mat","4","17"
"Mat","9","13"
"Mat","11","20"
"Mat","11","21"
"Mat","12","41"
"Mat","21","29"
"Mat","21","32"
"Mat","27","3"
"Mar","1","4"
"Mar","1","15"
"Mar","2","17"
"Mar","6","12"
"Luk","3","3"
"Luk","3","8"
"Luk","5","32"
"Luk","10","13"
"Luk","11","32"
"Luk","13","3"
"Luk","13","5"
"Luk","15","7"
"Luk","15","10"
"Luk","16","30"
"Luk","17","3"
"Luk","17","4"
"Luk","24","47"
"Act","2","38"
"Act","3","19"
"Act","5","31"
"Act","8","22"
"Act","11","18"
"Act","13","24"
"Act","17","30"
"Act","19","4"
"Act","20","21"
"Act","26","20"
"Rom","2","4"
"Rom","11","29"
"2Co","7","8"
"2Co","7","9"
"2Co","7","10"
"2Co","12","21"
"2Ti","2","25"
"Heb","6","1"
"Heb","6","6"
"Heb","7","21"
"Heb","12","17"
"2Pe","3","9"
"Rev","2","5"
"Rev","2","16"
"Rev","2","21"
"Rev","2","22"
"Rev","3","3"
"Rev","3","19"
"Rev","9","20"
"Rev","9","21"
"Rev","16","9"
"Rev","16","11"
